  Cycle   ACYCAA01:1  ATTNDR01:1  CPHLPS01:1  DOXYSC01:1  DWIRPP01:1  OXYSSC01:1  POPTDR01:1  POTMCV01:1  PRESPR01:1  PSALCC01:1  SIGTPR01:1  TEMPST01:1  UWIRPP01:1  
Number              f           f           f           f           f           f           f           f           f           f           f           f           f 
     217)        217       0.039        0.03       183.7        0.00       78.89      99.040      18.989      219.00      36.767      26.376      19.024        0.00 
     218)        218       0.038        0.03       183.7        0.00       78.85      99.040      18.976      220.00      36.764      26.378      19.011        0.00 
     219)        219       0.038        0.03       183.1        0.00       78.58      99.050      18.963      221.00      36.760      26.378      18.998        0.00 
     220)        220       0.039        0.04       183.1        0.00       78.48      99.040      18.896      222.00      36.746      26.384      18.931        0.00 
     221)        221       0.039        0.03       183.2        0.00       78.43      99.040      18.824      223.00      36.732      26.392      18.859        0.00 
     222)        222       0.038        0.03       183.9        0.00       78.56      99.050      18.722      224.00      36.714      26.404      18.758        0.00 
     223)        223       0.038       -0.00M      184.8        0.00       78.91      99.050      18.711      225.00      36.712      26.406      18.747        0.00 
     224)        224       0.038        0.01       184.2        0.00       78.91      99.060      18.868      226.00      36.744      26.390      18.904        0.00 
     225)        225       0.038        0.03       184.1        0.00       78.64      99.070      18.719      227.00      36.712      26.404      18.755        0.00 
     226)        226       0.038        0.04       184.9        0.00       78.74      99.050      18.561      228.00      36.684      26.423      18.597        0.00 
     227)        227       0.038        0.05       185.1        0.00       78.80      99.050      18.548      229.00      36.681      26.424      18.584        0.00 
     228)        228       0.038        0.06       185.3        0.00       78.85      99.060      18.541      230.00      36.679      26.424      18.577        0.00 
     229)        229       0.038        0.06       185.4        0.00       78.89      99.050      18.537      231.00      36.679      26.425      18.574        0.00 
     230)        230       0.038        0.03       185.6        0.00       78.99      99.060      18.535      232.00      36.678      26.424      18.572        0.00 
     231)        231       0.038        0.02       185.5        0.00       78.97      99.060      18.533      233.00      36.680      26.427      18.570        0.00 
     232)        232       0.038        0.02       185.5        0.00       78.78      99.060      18.440      234.00      36.662      26.436      18.477        0.00 
     233)        233       0.037        0.01       185.8        0.00       78.85      99.080      18.382      235.00      36.652      26.443      18.419        0.00 
     234)        234       0.037        0.02       185.9        0.00       78.85      99.080      18.350      236.00      36.645      26.446      18.387        0.00 
     235)        235       0.037        0.02       186.1        0.00       78.86      99.080      18.318      237.00      36.639      26.450      18.355        0.00 
     236)        236       0.037        0.02       186.4        0.00       78.93      99.080      18.274      238.00      36.631      26.455      18.311        0.00 
     237)        237       0.037        0.01       186.7        0.00       79.00      99.080      18.239      239.00      36.624      26.458      18.277        0.00 
     238)        238       0.037        0.02       186.7        0.00       78.93      99.080      18.208      240.00      36.618      26.461      18.246        0.00 
     239)        239       0.037        0.01       187.1        0.00       79.05      99.080      18.168      241.00      36.610      26.465      18.206        0.00 
     240)        240       0.037        0.00       188.0        0.00       79.33      99.080      18.116      242.00      36.599      26.470      18.154        0.00 
     241)        241       0.037        0.01       188.3        0.00       79.40      99.080      18.069      243.00      36.593      26.477      18.107        0.00 
     242)        242       0.037        0.01       188.6        0.00       79.52      99.080      18.051      244.00      36.591      26.480      18.089        0.00 
     243)        243       0.037       -0.01M      189.2        0.00       79.70      99.080      18.026      245.00      36.584      26.481      18.064        0.00 
     244)        244       0.037       -0.01M      188.9        0.00       79.57      99.080      18.008      246.00      36.580      26.482      18.046        0.00 
     245)        245       0.037        0.01       189.3        0.00       79.68      99.080      17.975      247.00      36.574      26.486      18.014        0.00 
     246)        246       0.036        0.01       189.3        0.00       79.64      99.090      17.939      248.00      36.568      26.490      17.978        0.00 
     247)        247       0.036        0.01       189.7        0.00       79.71      99.090      17.880      249.00      36.557      26.496      17.919        0.00 
     248)        248       0.036        0.01       190.2        0.00       79.86      99.090      17.847      250.00      36.550      26.499      17.886        0.00 
     249)        249       0.036        0.01       190.8        0.00       80.06      99.090      17.805      251.00      36.543      26.504      17.844        0.00 
     250)        250       0.037        0.01       190.3        0.00       79.95      99.080      17.879      252.00      36.556      26.496      17.918        0.00 
     251)        251       0.037        0.01       190.0        0.00       79.72      99.090      17.810      253.00      36.541      26.501      17.849        0.00 
     252)        252       0.037        0.01       190.4        0.00       79.77      99.080      17.750      254.00      36.533      26.510      17.790        0.00 
     253)        253       0.037        0.01       190.4        0.00       79.71      99.080      17.712      255.00      36.526      26.514      17.752        0.00 
     254)        254       0.037       -0.01M      190.6        0.00       79.86      99.090      17.740      256.00      36.532      26.512      17.780        0.00 
     255)        255       0.036       -0.04M      189.3        0.00       79.37      99.100      17.764      257.00      36.534      26.507      17.804        0.00 
     256)        256       0.036       -0.01M      187.3        0.00       78.30      99.090      17.625      258.00      36.509      26.522      17.665        0.00 
     257)        257       0.037       -0.00M      185.8        0.00       77.57      99.080      17.556      259.00      36.498      26.531      17.596        0.00 
     258)        258       0.037       -0.02M      184.6        0.00       76.98      99.090      17.511      260.00      36.489      26.535      17.551        0.00 
     259)        259       0.036       -0.02M      183.9        0.00       76.64      99.100      17.475      261.00      36.481      26.538      17.515        0.00 
     260)        260       0.036       -0.02M      183.7        0.00       76.51      99.100      17.444      262.00      36.475      26.541      17.484        0.00 
     261)        261       0.037       -0.01M      184.1        0.00       76.65      99.090      17.438      263.00      36.474      26.541      17.479        0.00 
     262)        262       0.037        0.01       184.0        0.00       76.65      99.080      17.451      264.00      36.480      26.543      17.492        0.00 
     263)        263       0.037        0.01       184.2        0.00       76.53      99.080      17.309      265.00      36.452      26.556      17.350        0.00 
     264)        264       0.037        0.01       184.9        0.00       76.72      99.080      17.253      266.00      36.443      26.562      17.294        0.00 
     265)        265       0.037        0.01       185.2        0.00       76.78      99.080      17.226      267.00      36.438      26.565      17.267        0.00 
     266)        266       0.037        0.01       185.2        0.00       76.75      99.080      17.206      268.00      36.439      26.571      17.247        0.00 
     267)        267       0.036        0.02       185.2        0.00       76.73      99.090      17.195      269.00      36.435      26.570      17.236        0.00 
     268)        268       0.038        0.01       185.5        0.00       76.86      99.070      17.186      270.00      36.432      26.570      17.227        0.00 
     269)        269       0.037        0.01       185.5        0.00       76.88      99.080      17.182      271.00      36.432      26.571      17.224        0.00 
     270)        270       0.036        0.01       185.3        0.00       76.75      99.090      17.166      272.00      36.429      26.573      17.208        0.00 
     271)        271       0.037        0.01       185.2        0.00       76.68      99.090      17.146      273.00      36.425      26.575      17.188        0.00 
     272)        272       0.036        0.01       185.1        0.00       76.59      99.100      17.125      274.00      36.422      26.577      17.167        0.00 
     273)        273       0.038        0.01       185.3        0.00       76.64      99.050      17.106      275.00      36.419      26.580      17.148        0.00 
     274)        274       0.037        0.01       185.6        0.00       76.75      99.090      17.088      276.00      36.415      26.581      17.130        0.00 
     275)        275       0.037        0.01       185.5        0.00       76.81      99.090      17.142      277.00      36.424      26.575      17.184        0.00 
     276)        276       0.037       -0.00M      184.8        0.00       76.49      99.080      17.128      278.00      36.423      26.577      17.171        0.00 
     277)        277       0.036       -0.01M      184.8        0.00       76.40      99.090      17.068      279.00      36.412      26.583      17.111        0.00 
     278)        278       0.037        0.01       184.8        0.00       76.36      99.080      17.051      280.00      36.409      26.585      17.094        0.00 
     279)        279       0.037        0.01       185.1        0.00       76.43      99.080      17.018      281.00      36.404      26.589      17.061        0.00 
     280)        280       0.037        0.01       185.4        0.00       76.52      99.080      16.988      282.00      36.398      26.592      17.031        0.00 
     281)        281       0.037       -0.01M      185.6        0.00       76.60      99.080      16.979      283.00      36.396      26.593      17.022        0.00 
     282)        282       0.037       -0.01M      185.9        0.00       76.69      99.090      16.971      284.00      36.395      26.594      17.014        0.00 
     283)        283       0.037        0.02       186.0        0.00       76.82      99.090      17.015      285.00      36.404      26.590      17.059        0.00 
     284)        284       0.037        0.01       185.5        0.00       76.71      99.090      17.084      286.00      36.413      26.580      17.128        0.00 
     285)        285       0.037       -0.01M      185.2        0.00       76.43      99.080      16.998      287.00      36.399      26.590      17.042        0.00 
     286)        286       0.037       -0.01M      185.3        0.00       76.35      99.090      16.919      288.00      36.385      26.598      16.963        0.00 
     287)        287       0.036       -0.01M      184.6        0.00       76.05      99.100      16.905      289.00      36.382      26.600      16.949        0.00 
     288)        288       0.036       -0.02M      183.8        0.00       75.70      99.100      16.879      290.00      36.377      26.602      16.923        0.00 
     289)        289       0.036       -0.03M      183.7        0.00       75.60      99.100      16.854      291.00      36.372      26.604      16.898        0.00 
     290)        290       0.036       -0.03M      183.6        0.00       75.57      99.100      16.846      292.00      36.370      26.604      16.891        0.00 
     291)        291       0.036       -0.01M      183.2        0.00       75.35      99.090      16.807      293.00      36.364      26.609      16.852        0.00 
     292)        292       0.036       -0.02M      183.3        0.00       75.36      99.090      16.798      294.00      36.362      26.610      16.843        0.00 
     293)        293       0.037       -0.03M      183.8        0.00       75.56      99.080      16.786      295.00      36.360      26.611      16.831        0.00 
     294)        294       0.036       -0.02M      183.4        0.00       75.32      99.090      16.734      296.00      36.351      26.616      16.779        0.00 
     295)        295       0.036        0.00       182.7        0.00       74.97      99.100      16.713      297.00      36.346      26.618      16.758        0.00 
     296)        296       0.036        0.00       182.4        0.00       74.84      99.100      16.709      298.00      36.345      26.618      16.754        0.00 
     297)        297       0.036       -0.01M      182.4        0.00       74.86      99.100      16.708      299.00      36.345      26.618      16.753        0.00 
     298)        298       0.036       -0.01M      182.8        0.00       75.02      99.100      16.721      300.00      36.348      26.617      16.767        0.00 
     299)        299       0.036        0.03       182.8        0.00       75.06      99.100      16.745      301.00      36.353      26.615      16.791        0.00 
     300)        300       0.036        0.06       182.7        0.00       74.96      99.100      16.690      302.00      36.343      26.621      16.736        0.00 
     301)        301       0.036        0.01       183.0        0.00       75.04      99.100      16.658      303.00      36.338      26.625      16.704        0.00 
     302)        302       0.036        0.01       183.2        0.00       75.11      99.090      16.647      304.00      36.337      26.626      16.693        0.00 
     303)        303       0.036        0.00       183.4        0.00       75.18      99.100      16.641      305.00      36.336      26.627      16.687        0.00 
     304)        304       0.036       -0.02M      183.5        0.00       75.21      99.100      16.635      306.00      36.334      26.627      16.681        0.00 
     305)        305       0.036       -0.02M      183.5        0.00       75.18      99.100      16.630      307.00      36.333      26.627      16.677        0.00 
     306)        306       0.036        0.00       183.3        0.00       75.12      99.100      16.627      308.00      36.333      26.628      16.674        0.00 
     307)        307       0.036        0.01       183.5        0.00       75.18      99.100      16.618      309.00      36.331      26.629      16.665        0.00 
     308)        308       0.037        0.01       183.7        0.00       75.25      99.090      16.609      310.00      36.330      26.630      16.656        0.00 
     309)        309       0.037        0.01       183.6        0.00       75.18      99.070      16.590      311.00      36.327      26.632      16.637        0.00 
     310)        310       0.036        0.00       183.8        0.00       75.23      99.090      16.573      312.00      36.324      26.634      16.620        0.00 
     311)        311       0.036       -0.01M      183.8        0.00       75.22      99.100      16.565      313.00      36.322      26.634      16.613        0.00 
     312)        312       0.036        0.00       183.9        0.00       75.21      99.100      16.545      314.00      36.319      26.637      16.593        0.00 
     313)        313       0.036        0.05       183.6        0.00       75.07      99.090      16.528      315.00      36.316      26.638      16.576        0.00 
     314)        314       0.036        0.05       183.6        0.00       75.04      99.100      16.501      316.00      36.311      26.641      16.549        0.00 
     315)        315       0.036        0.02       183.4        0.00       74.95      99.110      16.488      317.00      36.309      26.642      16.536        0.00 
     316)        316       0.036        0.01       183.4        0.00       74.93      99.100      16.478      318.00      36.307      26.643      16.526        0.00 
     317)        317       0.036        0.01       183.6        0.00       74.99      99.100      16.475      319.00      36.307      26.644      16.523        0.00 
     318)        318       0.036        0.04       183.6        0.00       75.01      99.100      16.476      320.00      36.308      26.645      16.524        0.00 
     319)        319       0.037        0.01       183.4        0.00       74.91      99.080      16.476      321.00      36.308      26.644      16.525        0.00 
     320)        320       0.036       -0.01M      183.2        0.00       74.84      99.100      16.470      322.00      36.306      26.644      16.519        0.00 
     321)        321       0.036        0.00       182.9        0.00       74.70      99.100      16.458      323.00      36.304      26.646      16.507        0.00 
     322)        322       0.036       -0.00M      182.9        0.00       74.68      99.100      16.454      324.00      36.303      26.646      16.503        0.00 
     323)        323       0.036       -0.00M      183.2        0.00       74.80      99.100      16.445      325.00      36.302      26.647      16.494        0.00 
     324)        324       0.036        0.03       183.0        0.00       74.69      99.100      16.437      326.00      36.300      26.648      16.486        0.00 
     325)        325       0.036        0.05       183.0        0.00       74.66      99.100      16.404      327.00      36.296      26.652      16.454        0.00 
     326)        326       0.036        0.06       182.7        0.00       74.48      99.100      16.373      328.00      36.290      26.655      16.423        0.00 
     327)        327       0.036        0.05       182.5        0.00       74.39      99.100      16.369      329.00      36.289      26.655      16.419        0.00 
     328)        328       0.036        0.05       182.4        0.00       74.35      99.100      16.363      330.00      36.288      26.656      16.413        0.00 
     329)        329       0.036        0.03       182.5        0.00       74.38      99.100      16.357      331.00      36.287      26.656      16.407        0.00 
     330)        330       0.036        0.01       182.7        0.00       74.43      99.110      16.351      332.00      36.285      26.656      16.401        0.00 
     331)        331       0.036        0.04       182.6        0.00       74.37      99.100      16.342      333.00      36.284      26.658      16.392        0.00 
     332)        332       0.036        0.04       182.5        0.00       74.32      99.100      16.331      334.00      36.282      26.658      16.382        0.00 
     333)        333       0.036        0.03       182.1        0.00       74.18      99.110      16.327      335.00      36.282      26.659      16.378        0.00 
     334)        334       0.036        0.03       181.9        0.00       74.06      99.100      16.300      336.00      36.277      26.662      16.351        0.00 
     335)        335       0.036        0.04       181.7        0.00       73.85      99.120      16.214      337.00      36.264      26.672      16.265        0.00 
     336)        336       0.035        0.03       181.6        0.00       73.74      99.120      16.166      338.00      36.255      26.676      16.217        0.00 
     337)        337       0.036        0.03       181.7        0.00       73.76      99.110      16.153      339.00      36.252      26.677      16.204        0.00 
     338)        338       0.036        0.02       181.9        0.00       73.80      99.110      16.144      340.00      36.251      26.678      16.195        0.00 
     339)        339       0.036        0.01       182.1        0.00       74.06      99.110      16.249      341.00      36.269      26.668      16.300        0.00 
     340)        340       0.035        0.00       181.0        0.00       73.54      99.130      16.204      342.00      36.261      26.672      16.256        0.00 
     341)        341       0.035       -0.00M      181.0        0.00       73.37      99.120      16.104      343.00      36.244      26.682      16.156        0.00 
     342)        342       0.036       -0.03M      180.8        0.00       73.29      99.110      16.087      344.00      36.241      26.684      16.139        0.00 
     343)        343       0.035       -0.03M      180.8        0.00       73.23      99.120      16.060      345.00      36.236      26.686      16.112        0.00 
     344)        344       0.035       -0.03M      180.8        0.00       73.15      99.120      15.992      346.00      36.224      26.693      16.044        0.00 
     345)        345       0.035       -0.02M      180.9        0.00       73.15      99.120      15.968      347.00      36.220      26.695      16.020        0.00 
     346)        346       0.036        0.00       181.0        0.00       73.15      99.110      15.955      348.00      36.218      26.697      16.007        0.00 
     347)        347       0.035        0.00       181.0        0.00       73.12      99.120      15.939      349.00      36.215      26.698      15.991        0.00 
     348)        348       0.035       -0.01M      180.8        0.00       73.05      99.130      15.926      350.00      36.213      26.699      15.978        0.00 
     349)        349       0.035        0.01       180.7        0.00       72.99      99.130      15.912      351.00      36.210      26.700      15.964        0.00 
     350)        350       0.035        0.02       180.7        0.00       72.95      99.130      15.902      352.00      36.209      26.702      15.955        0.00 
     351)        351       0.035        0.00       180.7        0.00       72.95      99.130      15.885      353.00      36.207      26.704      15.938        0.00 
     352)        352       0.035       -0.03M      180.7        0.00       72.88      99.130      15.852      354.00      36.201      26.707      15.905        0.00 
     353)        353       0.035       -0.02M      180.4        0.00       72.76      99.130      15.838      355.00      36.198      26.708      15.891        0.00 
     354)        354       0.035       -0.00M      180.7        0.00       72.82      99.130      15.813      356.00      36.195      26.712      15.866        0.00 
     355)        355       0.035        0.01       180.5        0.00       72.73      99.130      15.804      357.00      36.193      26.712      15.857        0.00 
     356)        356       0.035        0.00       180.4        0.00       72.68      99.130      15.794      358.00      36.191      26.713      15.847        0.00 
     357)        357       0.035       -0.01M      180.4        0.00       72.64      99.130      15.767      359.00      36.187      26.716      15.820        0.00 
     358)        358       0.035       -0.01M      180.4        0.00       72.61      99.130      15.752      360.00      36.184      26.717      15.805        0.00 
     359)        359       0.035        0.01       180.6        0.00       72.69      99.130      15.734      361.00      36.181      26.719      15.788        0.00 
     360)        360       0.035        0.02       180.3        0.00       72.55      99.130      15.723      362.00      36.179      26.720      15.777        0.00 
     361)        361       0.035        0.04       180.3        0.00       72.53      99.140      15.705      363.00      36.176      26.722      15.759        0.00 
     362)        362       0.035        0.01       180.1        0.00       72.39      99.130      15.681      364.00      36.173      26.725      15.735        0.00 
     363)        363       0.035        0.04       180.2        0.00       72.39      99.130      15.654      365.00      36.168      26.727      15.708        0.00 
     364)        364       0.035        0.05       180.6        0.00       72.49      99.130      15.613      366.00      36.162      26.732      15.667        0.00 
     365)        365       0.035        0.05       180.7        0.00       72.51      99.130      15.591      367.00      36.158      26.734      15.645        0.00 
     366)        366       0.035        0.01       181.0        0.00       72.59      99.130      15.581      368.00      36.156      26.735      15.635        0.00 
     367)        367       0.035        0.00       181.0        0.00       72.57      99.130      15.566      369.00      36.154      26.736      15.621        0.00 
     368)        368       0.035        0.03       180.8        0.00       72.49      99.140      15.550      370.00      36.151      26.738      15.605        0.00 
     369)        369       0.035        0.03       180.7        0.00       72.51      99.130      15.587      371.00      36.158      26.735      15.642        0.00 
     370)        370       0.035        0.03       180.3        0.00       72.23      99.130      15.522      372.00      36.147      26.741      15.577        0.00 
     371)        371       0.035        0.03       180.2        0.00       72.12      99.130      15.486      373.00      36.142      26.745      15.541        0.00 
     372)        372       0.035        0.04       179.8        0.00       71.97      99.130      15.475      374.00      36.140      26.746      15.530        0.00 
     373)        373       0.035        0.03       179.7        0.00       71.88      99.130      15.453      375.00      36.136      26.748      15.508        0.00 
     374)        374       0.035        0.05       179.6        0.00       71.78      99.130      15.396      376.00      36.127      26.754      15.451        0.00 
     375)        375       0.035        0.04       179.4        0.00       71.68      99.130      15.381      377.00      36.125      26.755      15.436        0.00 
     376)        376       0.035        0.03       179.3        0.00       71.60      99.130      15.369      378.00      36.123      26.756      15.424        0.00 
     377)        377       0.035       -0.01M      179.2        0.00       71.56      99.130      15.363      379.00      36.120      26.756      15.419        0.00 
     378)        378       0.034       -0.02M      179.4        0.00       71.67      99.140      15.385      380.00      36.125      26.755      15.441        0.00 
     379)        379       0.034       -0.03M      179.1        0.00       71.56      99.150      15.393      381.00      36.125      26.752      15.449        0.00 
     380)        380       0.035       -0.03M      178.8        0.00       71.39      99.140      15.351      382.00      36.118      26.757      15.407        0.00 
     381)        381       0.035       -0.05M      178.6        0.00       71.28      99.130      15.344      383.00      36.118      26.758      15.400        0.00 
     382)        382       0.035       -0.05M      178.3        0.00       71.13      99.130      15.322      384.00      36.113      26.759      15.378        0.00 
     383)        383       0.035       -0.04M      178.1        0.00       71.05      99.130      15.306      385.00      36.110      26.760      15.362        0.00 
     384)        384       0.035       -0.03M      178.0        0.00       70.95      99.130      15.277      386.00      36.106      26.764      15.334        0.00 
     385)        385       0.035        0.02       177.7        0.00       70.80      99.130      15.239      387.00      36.101      26.768      15.296        0.00 
     386)        386       0.035        0.06       177.9        0.00       70.82      99.130      15.213      388.00      36.097      26.771      15.270        0.00 
     387)        387       0.034        0.08       178.3        0.00       70.93      99.150      15.173      389.00      36.090      26.775      15.230        0.00 
     388)        388       0.034        0.06       178.7        0.00       70.99      99.140      15.117      390.00      36.082      26.781      15.174        0.00 
     389)        389       0.034        0.05       178.7        0.00       70.96      99.140      15.102      391.00      36.079      26.782      15.159        0.00 
     390)        390       0.034        0.08       178.5        0.00       70.88      99.150      15.085      392.00      36.076      26.784      15.142        0.00 
     391)        391       0.034        0.08       178.4        0.00       70.77      99.140      15.048      393.00      36.070      26.787      15.105        0.00 
     392)        392       0.034        0.06       178.3        0.00       70.69      99.140      15.017      394.00      36.065      26.790      15.074        0.00 
     393)        393       0.034        0.05       178.1        0.00       70.57      99.150      14.993      395.00      36.061      26.792      15.050        0.00 
     394)        394       0.036        0.01       178.1        0.00       70.51      99.100      14.947      396.00      36.054      26.797      15.004        0.00 
     395)        395       0.036       -0.01M      177.9        0.00       70.42      99.090      14.929      397.00      36.052      26.800      14.986        0.00 
     396)        396       0.035        0.01       177.9        0.00       70.39      99.130      14.908      398.00      36.048      26.801      14.965        0.00 
     397)        397       0.034       -0.03M      178.0        0.00       70.40      99.140      14.887      399.00      36.045      26.803      14.945        0.00 
     398)        398       0.035       -0.07M      177.9        0.00       70.31      99.130      14.850      400.00      36.038      26.806      14.908        0.00 
     399)        399       0.034       -0.06M      177.8        0.00       70.20      99.150      14.798      401.00      36.030      26.811      14.856        0.00 
     400)        400       0.034       -0.06M      177.5        0.00       70.02      99.150      14.773      402.00      36.025      26.813      14.831        0.00 
     401)        401       0.034       -0.04M      176.8        0.00       69.72      99.150      14.747      403.00      36.021      26.816      14.805        0.00 
     402)        402       0.034       -0.04M      176.0        0.00       69.35      99.150      14.715      404.00      36.016      26.819      14.773        0.00 
     403)        403       0.034       -0.04M      176.0        0.00       69.30      99.140      14.694      405.00      36.013      26.821      14.752        0.00 
     404)        404       0.034       -0.02M      175.9        0.00       69.24      99.150      14.673      406.00      36.010      26.823      14.731        0.00 
     405)        405       0.034       -0.01M      175.1        0.00       68.92      99.150      14.662      407.00      36.008      26.824      14.720        0.00 
     406)        406       0.034       -0.04M      174.7        0.00       68.74      99.150      14.644      408.00      36.005      26.826      14.702        0.00 
     407)        407       0.034       -0.03M      175.0        0.00       68.82      99.140      14.638      409.00      36.004      26.827      14.696        0.00 
     408)        408       0.034       -0.02M      175.4        0.00       69.01      99.140      14.635      410.00      36.005      26.828      14.694        0.00 
     409)        409       0.034       -0.01M      175.6        0.00       69.06      99.150      14.618      411.00      36.002      26.829      14.677        0.00 
     410)        410       0.034       -0.02M      175.2        0.00       68.88      99.140      14.610      412.00      36.000      26.829      14.669        0.00 
     411)        411       0.034       -0.02M      174.8        0.00       68.72      99.150      14.607      413.00      36.000      26.830      14.666        0.00 
     412)        412       0.034       -0.02M      174.7        0.00       68.67      99.150      14.597      414.00      35.999      26.832      14.656        0.00 
     413)        413       0.034       -0.02M      174.8        0.00       68.69      99.150      14.583      415.00      35.996      26.832      14.642        0.00 
     414)        414       0.034       -0.02M      175.0        0.00       68.74      99.160      14.568      416.00      35.994      26.834      14.627        0.00 
     415)        415       0.034       -0.02M      175.3        0.00       68.88      99.150      14.567      417.00      35.994      26.834      14.627        0.00 
     416)        416       0.034        0.01       175.3        0.00       68.96      99.150      14.635      418.00      36.004      26.827      14.695        0.00 
     417)        417       0.034        0.05       175.8        0.00       69.06      99.150      14.560      419.00      35.994      26.836      14.620        0.00 
     418)        418       0.034        0.03       176.8        0.00       69.36      99.150      14.496      420.00      35.985      26.843      14.556        0.00 
     419)        419       0.034        0.01       177.0        0.00       69.43      99.150      14.491      421.00      35.984      26.843      14.551        0.00 
     420)        420       0.034        0.01       177.1        0.00       69.44      99.150      14.484      422.00      35.983      26.844      14.544        0.00 
     421)        421       0.034        0.01       177.1        0.00       69.41      99.150      14.465      423.00      35.980      26.846      14.525        0.00 
     422)        422       0.034        0.01       177.0        0.00       69.35      99.170      14.450      424.00      35.977      26.847      14.510        0.00 
     423)        423       0.034       -0.00M      177.1        0.00       69.36      99.150      14.430      425.00      35.974      26.849      14.490        0.00 
     424)        424       0.034       -0.03M      177.2        0.00       69.36      99.150      14.402      426.00      35.970      26.852      14.462        0.00 
     425)        425       0.034       -0.03M      177.1        0.00       69.29      99.160      14.382      427.00      35.967      26.853      14.443        0.00 
     426)        426       0.034       -0.03M      177.0        0.00       69.24      99.150      14.373      428.00      35.966      26.855      14.434        0.00 
     427)        427       0.034       -0.04M      176.8        0.00       69.16      99.150      14.370      429.00      35.965      26.854      14.431        0.00 
     428)        428       0.034       -0.04M      176.9        0.00       69.19      99.150      14.353      430.00      35.962      26.856      14.414        0.00 
     429)        429       0.034       -0.03M      177.1        0.00       69.22      99.150      14.321      431.00      35.958      26.860      14.382        0.00 
     430)        430       0.034       -0.01M      177.0        0.00       69.17      99.150      14.313      432.00      35.957      26.861      14.374        0.00 
     431)        431       0.034       -0.00M      177.1        0.00       69.18      99.150      14.306      433.00      35.955      26.861      14.367        0.00 
     432)        432       0.033       -0.01M      177.4        0.00       69.26      99.170      14.284      434.00      35.951      26.862      14.345        0.00 
     433)        433       0.033       -0.02M      177.3        0.00       69.18      99.170      14.253      435.00      35.947      26.866      14.314        0.00 
     434)        434       0.033       -0.04M      177.2        0.00       69.10      99.170      14.225      436.00      35.943      26.869      14.286        0.00 
     435)        435       0.033       -0.03M      177.6        0.00       69.19      99.170      14.180      437.00      35.937      26.874      14.242        0.00 
     436)        436       0.034       -0.04M      177.1        0.00       68.99      99.150      14.160      438.00      35.934      26.876      14.222        0.00 
     437)        437       0.034       -0.03M      177.3        0.00       69.05      99.150      14.152      439.00      35.932      26.876      14.214        0.00 
     438)        438       0.034       -0.06M      177.5        0.00       69.10      99.160      14.147      440.00      35.932      26.877      14.209        0.00 
     439)        439       0.034       -0.03M      177.3        0.00       69.02      99.150      14.143      441.00      35.931      26.877      14.205        0.00 
     440)        440       0.034       -0.03M      177.3        0.00       69.02      99.150      14.139      442.00      35.931      26.878      14.201        0.00 
     441)        441       0.033       -0.01M      177.1        0.00       68.94      99.170      14.137      443.00      35.931      26.878      14.199        0.00 
     442)        442       0.033        0.01       176.9        0.00       68.84      99.180      14.119      444.00      35.928      26.880      14.181        0.00 
     443)        443       0.033        0.00       176.8        0.00       68.75      99.180      14.072      445.00      35.920      26.884      14.134        0.00 
     444)        444       0.033       -0.00M      176.8        0.00       68.67      99.180      14.031      446.00      35.915      26.889      14.093        0.00 
     445)        445       0.034        0.00       176.6        0.00       68.58      99.160      14.008      447.00      35.912      26.891      14.071        0.00 
     446)        446       0.033        0.00       176.5        0.00       68.52      99.170      13.991      448.00      35.909      26.892      14.054        0.00 
     447)        447       0.034       -0.01M      176.5        0.00       68.50      99.160      13.977      449.00      35.907      26.894      14.040        0.00 
     448)        448       0.034       -0.02M      176.7        0.00       68.53      99.160      13.957      450.00      35.904      26.896      14.020        0.00 
     449)        449       0.033       -0.02M      176.7        0.00       68.53      99.170      13.947      451.00      35.902      26.896      14.010        0.00 
     450)        450       0.033       -0.00M      176.5        0.00       68.44      99.180      13.937      452.00      35.901      26.898      14.000        0.00 
     451)        451       0.033       -0.01M      176.5        0.00       68.42      99.180      13.932      453.00      35.900      26.898      13.995        0.00 
     452)        452       0.033       -0.01M      176.3        0.00       68.32      99.180      13.916      454.00      35.898      26.900      13.979        0.00 
     453)        453       0.033        0.02       176.1        0.00       68.22      99.170      13.900      455.00      35.896      26.902      13.963        0.00 
     454)        454       0.033        0.01       176.2        0.00       68.22      99.170      13.884      456.00      35.893      26.902      13.948        0.00 
     455)        455       0.033        0.00       176.1        0.00       68.19      99.180      13.876      457.00      35.892      26.903      13.940        0.00 
     456)        456       0.034       -0.02M      176.1        0.00       68.13      99.160      13.837      458.00      35.887      26.908      13.901        0.00 
     457)        457       0.034       -0.03M      175.8        0.00       67.99      99.150      13.815      459.00      35.884      26.910      13.879        0.00 
     458)        458       0.033       -0.03M      175.6        0.00       67.85      99.170      13.785      460.00      35.879      26.913      13.849        0.00 
     459)        459       0.033       -0.05M      175.6        0.00       67.81      99.180      13.754      461.00      35.875      26.916      13.818        0.00 
     460)        460       0.033       -0.04M      175.5        0.00       67.77      99.180      13.740      462.00      35.873      26.917      13.804        0.00 
     461)        461       0.033       -0.05M      175.4        0.00       67.69      99.180      13.724      463.00      35.870      26.918      13.788        0.00 
     462)        462       0.033       -0.03M      175.2        0.00       67.60      99.180      13.712      464.00      35.868      26.919      13.776        0.00 
     463)        463       0.033       -0.02M      175.0        0.00       67.52      99.180      13.693      465.00      35.865      26.921      13.757        0.00 
