date,depth2,fluo,fluo_volt,ratio,weighted_470,weighted_440,tchla,micro,nano,pico,peri,but,fuco,viola,hex,diad,allo,zea,tchlb,chla,ps_440,ps_470,month,monthabb,year,season,abs,abs_sd,yield,yield_sd,slope,slope_sd,ps,ps_sd,slope_calc
2013-01-24,80,0.2191,1.2978,0.08816120906801009,0.007933998446543359,0.008930036545218923,0.2122,0.2401478160393182,0.6255291505370046,0.2229966826587718,0.0029,0.0209,0.0272,0.003,0.0427,0.0066,0.0066,0.0074,0.0445,0.2057,0.008142753726370907,0.007234527550752382,1,Jan,2013,Winter,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-24,70,0.2202,1.2997,0.08894230769230768,0.008952228865000286,0.010048825458692975,0.2239,0.24998480889591052,0.6121306029855581,0.2239877660975066,0.0033,0.0215,0.0297,0.0031,0.0436,0.0068,0.0069,0.008,0.0466,0.217,0.00915505973279961,0.008155996970757473,1,Jan,2013,Winter,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-24,60,0.2265,1.3112,0.08842729970326409,0.008403401205305971,0.009397014553395705,0.2245,0.2433523625416579,0.6188419367505361,0.22615559650023664,0.0032,0.0219,0.0291,0.0027,0.045,0.0069,0.0068,0.008,0.0476,0.2175,0.008566061931166649,0.00766031112839761,1,Jan,2013,Winter,0.029658077741992632,0.0032423074677105095,11.252263332617627,0.5328385376309219,0.23804719543030514,0.019581675871515082,0.02544059669591616,0.0026235716501977996,0.33372050069214665
2013-01-24,50,0.225,1.3086,0.09012345679012347,0.009353299931639986,0.010365439808975547,0.2175,0.24576297702360217,0.6176093282297848,0.2244866031851983,0.0029,0.0211,0.0285,0.003,0.0432,0.0067,0.0066,0.0079,0.0451,0.2106,0.009431270542240713,0.008510348209405764,1,Jan,2013,Winter,0.031975125700959665,0.003802587352784892,9.861214705229013,1.263972697870182,0.2547281306841562,0.0300537197366814,0.02681164025231453,0.0030099533041791585,0.3153135797638496
2013-01-24,40,0.232,1.3208,0.09332545776727703,0.008505431124552477,0.009503786386876862,0.2284,0.25155105471720773,0.6136622903574431,0.22201096745787136,0.0031,0.0216,0.0304,0.0035,0.0447,0.0078,0.0069,0.008,0.0468,0.2211,0.008616841171799164,0.007711657871345571,1,Jan,2013,Winter,0.029651391854364075,0.0031512074631917177,11.299875348763292,1.1187456913581866,0.24897438744874797,0.03620727679024648,0.025727927652287434,0.002163126472840565,0.3350570318716493
2013-01-24,30,0.2406,1.3355,0.10704064109902692,0.00915471464901265,0.010373676217288755,0.2348,0.2529176270775203,0.6067936430911076,0.2252626470945044,0.0029,0.0213,0.0317,0.0044,0.0449,0.0098,0.0074,0.0089,0.0478,0.2277,0.009263271264436438,0.008174788123903683,1,Jan,2013,Winter,0.03220647033617982,0.0022727799543678876,10.099277399207072,1.041880212352009,0.27828930898448573,0.03162921976480995,0.02798470872984119,0.0016162552651708079,0.32526207797441387
2013-01-24,20,0.238,1.3312,0.10807799442896936,0.009410157365730407,0.010504920160202599,0.239,0.24753899742541272,0.6147347796456156,0.2235536877177041,0.0031,0.0218,0.0317,0.0045,0.0465,0.0106,0.0078,0.0088,0.0492,0.2322,0.009369569457651454,0.008393126430381271,1,Jan,2013,Winter,0.03632135466247872,0.0015650920447452862,7.775300120741323,1.0298800422587255,0.25509284882177763,0.028207333264223387,0.031123732247173883,0.0010868277984791566,0.2824094332926592
2013-01-24,10,0.2328,1.3223,0.13435374149659862,0.009684542922494968,0.010894797054140553,0.235,0.2421023017171086,0.626985451545684,0.21292432991755397,0.0033,0.0208,0.0306,0.0053,0.0441,0.0146,0.0091,0.0091,0.0448,0.2278,0.009431040307070648,0.008383388346173366,1,Jan,2013,Winter,0.03790632164801343,0.0013071566280883967,7.3200545201086555,0.74141003359417,0.24506473002477744,0.02299249507662841,0.03161680891785094,6.864259522924714e-4,0.2774763411202333
2013-01-24,5,0.2305,1.3182,0.1442585112521639,0.009314430236139305,0.010438317743128698,0.2261,0.232812198417294,0.6318037058482918,0.21498745415942863,0.0031,0.0201,0.0291,0.0051,0.0423,0.0156,0.0097,0.0094,0.044,0.2193,0.008932501565527905,0.007970744397111706,1,Jan,2013,Winter,0.037869973818686134,0.0019521752333808045,6.258551198748323,0.8608772968322338,0.19361078650305705,0.020047954435904642,0.030033944513613773,0.0012358137909874469,0.23701117003950573
2013-02-14,80,0.2006,1.2625,0.09899999999999998,0.005742652754480535,0.006496665257870466,0.142,0.2620017225952654,0.5915107829446344,0.22573523878013496,0.0015,0.0122,0.0192,0.0021,0.0243,0.005,0.0045,0.0049,0.0284,0.142,0.00585349539734129,0.005174130131786962,2,Feb,2013,Winter,NA,NA,NA,NA,NA,NA,NA,NA,NA
